idcuenta,tipocuentaid,tipocuenta,cuentamayor,subcuenta,cuentaanalisis,periodo,saldoanterior,saldo,generado_en
1513,3,Total Ganancias,,,,2026-01-01T00:00:00.000Z,0,0,2026-09-24T11:09:37.067Z
1514,3,Total Ganancias,,,,2026-02-01T00:00:00.000Z,0,0,2026-09-24T11:09:37.067Z
1515,3,Total Ganancias,,,,2026-03-01T00:00:00.000Z,0,0,2026-09-24T11:09:37.067Z
1516,3,Total Ganancias,,,,2026-04-01T00:00:00.000Z,0,0,2026-09-24T11:09:37.067Z
1517,3,Total Ganancias,,,,2026-05-01T00:00:00.000Z,0,0,2026-09-24T11:09:37.067Z
1518,3,Total Ganancias,,,,2026-06-01T00:00:00.000Z,0,0,2026-09-24T11:09:37.067Z
1519,3,Total Ganancias,,,,2026-07-01T00:00:00.000Z,0,0,2026-09-24T11:09:37.067Z
1520,3,Total Ganancias,,,,2026-08-01T00:00:00.000Z,0,0,2026-09-24T11:09:37.067Z
1521,3,Total Ganancias,,,,2026-09-01T00:00:00.000Z,0,0,2026-09-24T11:09:37.067Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-01-01T00:00:00.000Z,0,0,2026-09-24T11:09:37.067Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-02-01T00:00:00.000Z,0,0,2026-09-24T11:09:37.067Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-03-01T00:00:00.000Z,0,0,2026-09-24T11:09:37.067Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-04-01T00:00:00.000Z,0,0,2026-09-24T11:09:37.067Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-05-01T00:00:00.000Z,0,0,2026-09-24T11:09:37.067Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-06-01T00:00:00.000Z,0,0,2026-09-24T11:09:37.067Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-07-01T00:00:00.000Z,0,0,2026-09-24T11:09:37.067Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-08-01T00:00:00.000Z,0,0,2026-09-24T11:09:37.067Z
40026924,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-58 VENTA  DE PRODUCTO ENTERO,,2026-01-01T00:00:00.000Z,0,43651746,2026-09-24T11:09:37.067Z
40026924,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-58 VENTA  DE PRODUCTO ENTERO,,2026-02-01T00:00:00.000Z,0,28279000,2026-09-24T11:09:37.067Z
40026924,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-58 VENTA  DE PRODUCTO ENTERO,,2026-03-01T00:00:00.000Z,0,49277700,2026-09-24T11:09:37.067Z
40026924,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-58 VENTA  DE PRODUCTO ENTERO,,2026-04-01T00:00:00.000Z,0,45247400,2026-09-24T11:09:37.067Z
40026924,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-58 VENTA  DE PRODUCTO ENTERO,,2026-05-01T00:00:00.000Z,0,49563800,2026-09-24T11:09:37.067Z
40026924,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-58 VENTA  DE PRODUCTO ENTERO,,2026-06-01T00:00:00.000Z,0,56568100,2026-09-24T11:09:37.067Z
40026924,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-58 VENTA  DE PRODUCTO ENTERO,,2026-07-01T00:00:00.000Z,0,63583900,2026-09-24T11:09:37.067Z
40026924,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-58 VENTA  DE PRODUCTO ENTERO,,2026-08-01T00:00:00.000Z,0,34733200,2026-09-24T11:09:37.067Z
40026925,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-59 VENTA DE PRODUCTO TROZADO,,2026-01-01T00:00:00.000Z,0,42399600,2026-09-24T11:09:37.067Z
