idcuenta,tipocuentaid,tipocuenta,cuentamayor,subcuenta,cuentaanalisis,periodo,saldoanterior,saldo,generado_en
1513,3,Total Ganancias,,,,2026-01-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
1514,3,Total Ganancias,,,,2026-02-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
1515,3,Total Ganancias,,,,2026-03-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
1516,3,Total Ganancias,,,,2026-04-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
1517,3,Total Ganancias,,,,2026-05-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
1518,3,Total Ganancias,,,,2026-06-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
1519,3,Total Ganancias,,,,2026-07-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
1520,3,Total Ganancias,,,,2026-08-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
1521,3,Total Ganancias,,,,2026-09-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-03-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
40026867,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-46 INGRESO POR VENTAS,,2026-01-01T00:00:00.000Z,0,73490198,2026-09-24T21:40:48.093Z
40026867,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-46 INGRESO POR VENTAS,,2026-02-01T00:00:00.000Z,0,52668846,2026-09-24T21:40:48.093Z
40026867,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-46 INGRESO POR VENTAS,,2026-03-01T00:00:00.000Z,0,75292161,2026-09-24T21:40:48.093Z
40026867,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-46 INGRESO POR VENTAS,,2026-04-01T00:00:00.000Z,0,51042480,2026-09-24T21:40:48.093Z
40026867,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-46 INGRESO POR VENTAS,,2026-05-01T00:00:00.000Z,0,43125894,2026-09-24T21:40:48.093Z
40026867,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-46 INGRESO POR VENTAS,,2026-06-01T00:00:00.000Z,0,54263178,2026-09-24T21:40:48.093Z
40026867,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-46 INGRESO POR VENTAS,,2026-07-01T00:00:00.000Z,0,46234774,2026-09-24T21:40:48.093Z
40026867,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-46 INGRESO POR VENTAS,,2026-08-01T00:00:00.000Z,0,47720126,2026-09-24T21:40:48.093Z
40025895,3,Total Ganancias,5202 REAJUSTE DEV PPM,5202-01 REAJUSTE DEV PPM,,2026-05-01T00:00:00.000Z,0,11693,2026-09-24T21:40:48.093Z
1513,4,Total Pérdidas,,,,2026-01-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
1514,4,Total Pérdidas,,,,2026-02-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
1515,4,Total Pérdidas,,,,2026-03-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
1516,4,Total Pérdidas,,,,2026-04-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
1517,4,Total Pérdidas,,,,2026-05-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
1518,4,Total Pérdidas,,,,2026-06-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
1519,4,Total Pérdidas,,,,2026-07-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
1520,4,Total Pérdidas,,,,2026-08-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
1521,4,Total Pérdidas,,,,2026-09-01T00:00:00.000Z,0,0,2026-09-24T21:40:48.093Z
40025798,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-08 FLETES Y GASTOS DESPACHO,,2026-01-01T00:00:00.000Z,0,162000,2026-09-24T21:40:48.093Z
40025798,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-08 FLETES Y GASTOS DESPACHO,,2026-02-01T00:00:00.000Z,0,5008,2026-09-24T21:40:48.093Z
40025798,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-08 FLETES Y GASTOS DESPACHO,,2026-05-01T00:00:00.000Z,0,57790,2026-09-24T21:40:48.093Z
40025798,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-08 FLETES Y GASTOS DESPACHO,,2026-07-01T00:00:00.000Z,0,265639,2026-09-24T21:40:48.093Z
40025798,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-08 FLETES Y GASTOS DESPACHO,,2026-08-01T00:00:00.000Z,0,458044,2026-09-24T21:40:48.093Z
40025799,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-09 OTROS GASTOS DE EXPLOTACION,,2026-01-01T00:00:00.000Z,0,120000,2026-09-24T21:40:48.093Z
40025799,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-09 OTROS GASTOS DE EXPLOTACION,,2026-02-01T00:00:00.000Z,0,693714,2026-09-24T21:40:48.093Z
40025799,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-09 OTROS GASTOS DE EXPLOTACION,,2026-06-01T00:00:00.000Z,0,31168,2026-09-24T21:40:48.093Z
40025799,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-09 OTROS GASTOS DE EXPLOTACION,,2026-07-01T00:00:00.000Z,0,123146,2026-09-24T21:40:48.093Z
40025799,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-09 OTROS GASTOS DE EXPLOTACION,,2026-08-01T00:00:00.000Z,0,7143,2026-09-24T21:40:48.093Z
40025801,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-12 SEGUROS,,2026-01-01T00:00:00.000Z,0,7155,2026-09-24T21:40:48.093Z
40025801,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-12 SEGUROS,,2026-02-01T00:00:00.000Z,0,7147,2026-09-24T21:40:48.093Z
40025801,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-12 SEGUROS,,2026-03-01T00:00:00.000Z,0,7172,2026-09-24T21:40:48.093Z
40025801,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-12 SEGUROS,,2026-04-01T00:00:00.000Z,0,7181,2026-09-24T21:40:48.093Z
40025801,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-12 SEGUROS,,2026-05-01T00:00:00.000Z,0,7255,2026-09-24T21:40:48.093Z
40025801,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-12 SEGUROS,,2026-06-01T00:00:00.000Z,0,7339,2026-09-24T21:40:48.093Z
40025801,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-12 SEGUROS,,2026-07-01T00:00:00.000Z,0,7352,2026-09-24T21:40:48.093Z
40025801,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-12 SEGUROS,,2026-08-01T00:00:00.000Z,0,7353,2026-09-24T21:40:48.093Z
40025939,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-21 GASTO DE LUZ,,2026-03-01T00:00:00.000Z,0,79960,2026-09-24T21:40:48.093Z
40025939,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-21 GASTO DE LUZ,,2026-04-01T00:00:00.000Z,0,47362,2026-09-24T21:40:48.093Z
40025939,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-21 GASTO DE LUZ,,2026-05-01T00:00:00.000Z,0,86493,2026-09-24T21:40:48.093Z
40025939,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-21 GASTO DE LUZ,,2026-06-01T00:00:00.000Z,0,77358,2026-09-24T21:40:48.093Z
40025939,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-21 GASTO DE LUZ,,2026-07-01T00:00:00.000Z,0,60690,2026-09-24T21:40:48.093Z
40025939,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-21 GASTO DE LUZ,,2026-08-01T00:00:00.000Z,0,49710,2026-09-24T21:40:48.093Z
40025978,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-31 ASESORIAS,,2026-01-01T00:00:00.000Z,0,305340,2026-09-24T21:40:48.093Z
40025978,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-31 ASESORIAS,,2026-02-01T00:00:00.000Z,0,305990,2026-09-24T21:40:48.093Z
40025978,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-31 ASESORIAS,,2026-03-01T00:00:00.000Z,0,306383,2026-09-24T21:40:48.093Z
40025978,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-31 ASESORIAS,,2026-04-01T00:00:00.000Z,0,308524,2026-09-24T21:40:48.093Z
40025978,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-31 ASESORIAS,,2026-05-01T00:00:00.000Z,0,343224,2026-09-24T21:40:48.093Z
40025978,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-31 ASESORIAS,,2026-06-01T00:00:00.000Z,0,313908,2026-09-24T21:40:48.093Z
40025978,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-31 ASESORIAS,,2026-07-01T00:00:00.000Z,0,559165,2026-09-24T21:40:48.093Z
40025978,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-31 ASESORIAS,,2026-08-01T00:00:00.000Z,0,-155069,2026-09-24T21:40:48.093Z
40025999,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-33 PUBLICIDAD,,2026-06-01T00:00:00.000Z,0,162870,2026-09-24T21:40:48.093Z
40025999,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-33 PUBLICIDAD,,2026-07-01T00:00:00.000Z,0,826992,2026-09-24T21:40:48.093Z
40025999,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-33 PUBLICIDAD,,2026-08-01T00:00:00.000Z,0,950000,2026-09-24T21:40:48.093Z
40026059,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-35 ARRIENDO VEHÍCULOS,,2026-05-01T00:00:00.000Z,0,2100000,2026-09-24T21:40:48.093Z
