idcuenta,tipocuentaid,tipocuenta,cuentamayor,subcuenta,cuentaanalisis,periodo,saldoanterior,saldo,generado_en
1513,3,Total Ganancias,,,,2026-01-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
1514,3,Total Ganancias,,,,2026-02-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
1515,3,Total Ganancias,,,,2026-03-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
1516,3,Total Ganancias,,,,2026-04-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
1517,3,Total Ganancias,,,,2026-05-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
1518,3,Total Ganancias,,,,2026-06-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
1519,3,Total Ganancias,,,,2026-07-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
1520,3,Total Ganancias,,,,2026-08-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
1521,3,Total Ganancias,,,,2026-09-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-01-01T00:00:00.000Z,0,58362692,2026-09-24T21:36:39.067Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-02-01T00:00:00.000Z,0,53313626,2026-09-24T21:36:39.067Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-03-01T00:00:00.000Z,0,64366992,2026-09-24T21:36:39.067Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-04-01T00:00:00.000Z,0,64872447,2026-09-24T21:36:39.067Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-05-01T00:00:00.000Z,0,53395075,2026-09-24T21:36:39.067Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-06-01T00:00:00.000Z,0,57806809,2026-09-24T21:36:39.067Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-07-01T00:00:00.000Z,0,64551886,2026-09-24T21:36:39.067Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-08-01T00:00:00.000Z,0,62535817,2026-09-24T21:36:39.067Z
40026514,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-29 OTROS INGRESOS,,2026-05-01T00:00:00.000Z,0,19000,2026-09-24T21:36:39.067Z
40025892,3,Total Ganancias,5201 INGRESOS NO OPERACIONALES,5201-05 VENTAS ACTIVO FIJO,,2026-03-01T00:00:00.000Z,0,16176471,2026-09-24T21:36:39.067Z
40025895,3,Total Ganancias,5202 REAJUSTE DEV PPM,5202-01 REAJUSTE DEV PPM,,2026-05-01T00:00:00.000Z,0,161114,2026-09-24T21:36:39.067Z
1513,4,Total Pérdidas,,,,2026-01-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
1514,4,Total Pérdidas,,,,2026-02-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
1515,4,Total Pérdidas,,,,2026-03-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
1516,4,Total Pérdidas,,,,2026-04-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
1517,4,Total Pérdidas,,,,2026-05-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
1518,4,Total Pérdidas,,,,2026-06-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
1519,4,Total Pérdidas,,,,2026-07-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
1520,4,Total Pérdidas,,,,2026-08-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
1521,4,Total Pérdidas,,,,2026-09-01T00:00:00.000Z,0,0,2026-09-24T21:36:39.067Z
40025793,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-01 COSTO DE VENTA,,2026-04-01T00:00:00.000Z,0,91736692,2026-09-24T21:36:39.067Z
