alias,rut,razon_social
175,76.688.901-8,ISIDORA SPA
626,76.353.060-4,SOCIEDAD AGRICOLA Y COMERCIAL ACEVEDO Y COMPANIA SPA
627,77.921.930-5,SOC AGRICOLA Y COMERCIAL ACEVEDO Y RIOS SPA
628,78.190.102-4,NEXT PRO SPA
